sample_id,sample_site_name,sample_site_code,grab_compo_ind,timestamp_sample_collected,timestamp_sample_received,sample_ph_pre_ansis,conductivity_ms_cm,ammonia_mg_l,ophosph_mg_l,Turbidity,AM_CrAss_gc_l,PEG_CrAss_gc_l,SN_CrAss_gc_l,AM_phi6_Rec%,AM_phi6_Rec%_rerun,PEG_phi6_Rec%,PEG_phi6_Rec%_rerun,AM_N1_SARS_gc_l,PEG_N1_SARS_gc_l,AM_FluA_gc_l,PEG_FluA_gc_l,AM_EV_gc_l,PEG_EV_gc_l,AM_EVD68_gc_l,PEG_EVD68_gc_l,AM_NoVGI_gc_l,PEG_NoVGI_gc_l,AM_NoVGII_gc_l,PEG_NoVGII_gc_l,AM_MeV_gc_l,PEG_MeV_gc_l,AM_RoV_gc_l,PEG_RoV_gc_l,AM_RSVA_gc_l,PEG_RSVA_gc_l,AM_RSVB_gc_l,PEG_RSVB_gc_l
18076,"EAST HASTINGS, BEXHILL   STW""",,Composite,2021-11-19T10:00:00Z,2021-11-22T12:00:00Z,7.57,1614,49.82,1.66,125,7.75E+07,5.06E+07,1.04E+08,0.00,,0.10,,0,21403,0,0,0,54945,0,28001,237923.180,17494.44333,2170.351,2952.6567,0,0,0,0,detected,detected,0,0
18077,"EAST HASTINGS, BEXHILL   STW""",,Composite,2021-11-21T09:00:00Z,2021-11-22T12:00:00Z,7.52,1598,44.67,2.71,117,9.49E+07,8.30E+06,2.35E+08,0.00,,0.38,,0,198255,0,0,0,7294,4001,4368,264913.227,89418.4,1795.3873,1702.9314,0,0,0,0,0,0.000,0,0
18078,"EAST HASTINGS, BEXHILL   STW""",,Composite,2021-11-12T09:45:00Z,2021-11-22T12:00:00Z,7.44,1364,79.46,2.53,95.5,2.11E+08,3.94E+07,3.43E+08,0.00,,0.63,,0,333160,0,0,0,22530,0,5625,0.000,2075.480133,282.735,2630.307,0,0,0,0,detected,detected,0,0
18079,"EAST HASTINGS, BEXHILL   STW""",,Composite,2021-11-14T09:30:00Z,2021-11-22T12:00:00Z,7.82,1252,64.98,2.66,108,1.26E+08,9.60E+06,2.43E+08,0.00,,0.02,,0,31483,0,0,0,1238,0,522,34146.447,702.2139333,108.697105,598.6287,0,0,0,0,0,0,0,0
18080,"EAST HASTINGS, BEXHILL   STW""",,Composite,2021-11-15T09:40:00Z,2021-11-22T12:00:00Z,7.55,1344,55.67,2.14,88.6,1.84E+08,5.38E+07,6.99E+08,0.00,,0.00,,0,28524,0,0,0,46565,0,9018,31288.856,7124.806667,299.239,1841.7869,0,0,0,0,0,0.000,0,0
18081,"EAST HASTINGS, BEXHILL   STW""",,Composite,2021-11-17T07:30:00Z,2021-11-22T12:00:00Z,7.58,1370,49.71,4.02,141,2.04E+08,5.97E+06,5.14E+08,0.00,,2.88,,0,212657,0,0,0,0,0,0,19785.287,770.7962667,370.69843,760.11206,0,0,0,0,detected,detected,0,0
18082,"EAST HASTINGS, BEXHILL   STW""",,Composite,2021-11-12T09:15:00Z,2021-11-22T12:00:00Z,7.69,745.9,28.05,1.92,83,1.79E+08,9.93E+06,4.21E+08,0.00,,1.40,,0,123190,0,0,0,2522,0,1319,39457.989,20244.38467,557.22375,2369.21,0,0,0,0,0,detected,0,0
18083,TUNBRIDGE WELLS   South STW,,Grab,2021-11-21T10:00:00Z,2021-11-22T12:00:00Z,7.5,1113,67.11,6.02,26.7,1.20E+08,4.16E+07,1.76E+08,49.35,,3.53,,0,624831,0,0,0,48546,5783,16889,11356.182,2164.5724,121.6758,12478.907,0,0,0,0,detected,0,0,0
18084,TUNBRIDGE WELLS   South STW,,Grab,2021-11-19T00:00:00Z,2021-11-22T12:00:00Z,7.88,1257,69.18,6.82,247,1.04E+08,1.04E+08,1.07E+09,0.00,,0.44,,0,138636,0,0,122274,348909,38593,153114,16037.865,30521.042,401.9633,0,0,0,0,0,detected,detected,0,0
18085,TUNBRIDGE WELLS   South STW,,Grab,2021-11-17T10:30:00Z,2021-11-22T12:00:00Z,7.74,843,39.03,3.06,217,8.90E+07,7.82E+07,1.07E+09,0.00,,0.53,,0,542541,0,0,0,25151,0,9880,0.000,3203.942,67.33259,0,0,0,0,0,0,detected,0,0
18086,TUNBRIDGE WELLS   South STW,,Grab,2021-11-15T08:25:00Z,2021-11-22T12:00:00Z,7.56,694.8,25.16,1.99,61.4,1.29E+08,9.99E+06,4.81E+08,0.00,,0.00,,0,195529,0,0,0,0,0,0,0.000,12820.736,1593.3875,12169.585,0,0,0,0,0,0,0,0
18087,TUNBRIDGE WELLS   South STW,,Grab,2021-11-12T08:00:00Z,2021-11-22T12:00:00Z,7.83,631.3,23.84,1.02,28.5,9.28E+07,1.48E+06,1.29E+08,1782.34,,0.00,,626432,0,0,0,0,0,0,0,0.000,0,NA,NA,0,0,0,0,0,0,0,0
18088,TUNBRIDGE WELLS   South STW,,Grab,2021-11-14T08:15:00Z,2021-11-22T12:00:00Z,7.55,664.5,22.02,1.82,18.5,1.60E+08,2.34E+06,1.38E+08,381.79,,0.00,,0,37250,0,0,0,0,0,0,1164.782,0,NA,NA,0,0,0,0,0,0,0,0
18233,LANCASTER (STODDAY) STW,UKENNW_UU_TP000076,Composite,2021-11-22T00:00:00Z,2021-11-23T11:00:00Z,7.99,762.1,52.13,4.01,98,9.28E+08,1.44E+08,4.72E+09,NA,,3.04,,579956,47028,0,0,0,6504,0,5417,7948.700,6597.741333,NA,NA,0,0,0,1023.4478,0,detected,0,0
18234,BARNOLDSWICK STW,UKENNW_UU_TP000011,Composite,2021-11-22T00:00:00Z,2021-11-23T11:00:00Z,7.62,1450,48.17,3.22,83.7,1.64E+09,1.04E+09,2.15E+09,NA,,22.24,,374028,31626,0,0,67953,60024,38967,53457,0.000,0,NA,NA,0,0,0,0,0,detected,0,0
18235,"EAST HASTINGS, BEXHILL   STW""",,Composite,2021-11-22T00:00:00Z,2021-11-23T11:00:00Z,7.58,846.5,33.89,2.58,86.7,7.54E+08,1.64E+08,4.19E+08,NA,,0.17,,148963,65828,0,0,0,288,0,365,78766.073,20373.136,NA,NA,0,0,0,0,detected,detected,0,0
18236,TUNBRIDGE WELLS   South STW,,Composite,2021-11-22T00:00:00Z,2021-11-23T11:00:00Z,7.69,2534,31.53,2.32,33.1,9.02E+08,3.60E+08,5.15E+09,NA,,2.26,,154606,22439,0,0,0,1720,0,817,33194.433,15162.12,NA,NA,0,0,0,0,0.000,0,0,0
18237,Hartlepool Seaton Carew TW,NW-HTW,Composite,2021-11-22T00:00:00Z,2021-11-23T11:00:00Z,7.85,1194,31.1,2.02,164,3.54E+08,1.16E+09,1.39E+10,NA,,0.26,,358224,77212,0,0,18631,13852,18910,11214,7005.343,6214.794,NA,NA,0,0,0,0,0,detected,0,0
18238,PORTSMOUTH AND HAVANT,UKENSO_SW_TP000004,Composite,2021-11-22T00:00:00Z,2021-11-23T11:00:00Z,7.49,889.9,37.32,3.58,81,5.92E+08,8.69E+08,1.04E+10,NA,,0.58,,71267,83904,0,0,36616,8204,44015,6236,11082.844,6112.126667,NA,NA,0,0,0,0,detected,0,0,detected
18239,CRAMLINGTON STW,UKENNE_NU_TP000020,Composite,2021-11-22T00:00:00Z,2021-11-23T11:00:00Z,7.6,838.1,38.12,2.55,72.4,7.81E+08,1.45E+09,1.45E+10,NA,,0.99,,45387,104612,0,0,0,22251,10433,20342,71580.447,105520.76,NA,NA,0,0,0,0,0.000,detected,0,0
18240,TUNBRIDGE WELLS   South STW,,Composite,2021-11-22T00:00:00Z,2021-11-23T11:00:00Z,7.74,1324,54.87,4.14,48,1.33E+08,9.96E+07,4.86E+09,NA,,2.51,,84317,29567,0,0,0,4978,0,3048,30452.251,12346.51467,NA,NA,0,18823.70267,0,0,0.000,0,0,0
18241,LONDON (Mogden STW),UKENTH_TWU_TP000113,Composite,2021-11-22T00:00:00Z,2021-11-23T11:00:00Z,7.75,1193,49.62,3.82,75,3.59E+07,2.07E+09,8.04E+09,NA,,1.74,,7879,281920,0,0,0,63953,0,47850,52480.240,83170.28,NA,NA,0,0,0,0,0.000,detected,0,0
18242,LONDON (Becton STW),UKENTH_TWU_TP000014,Composite,2021-11-22T00:00:00Z,2021-11-23T11:00:00Z,7.73,1765,51.38,3.38,73,9.40E+07,1.37E+09,9.23E+09,NA,,2.39,,16088,219010,0,0,8095,36190,7248,24878,19984.258,56835.30667,NA,NA,0,0,0,0,detected,2.654,0,0
18243,HULL STW,UKENNE_YW_TP000095,Composite,2021-11-22T00:00:00Z,2021-11-23T11:00:00Z,7.31,1037,39.54,4.02,82.8,8.67E+07,1.18E+09,1.16E+10,NA,,1.36,,259319,163229,0,0,0,25288,0,16379,18798.103,23879.15067,NA,NA,0,0,0,0,0.000,0.000,0,0
18244,Fleetwood and Blackpool (Fleetwood Marsh) STW,UKENNW_UU_TP000050,Composite,2021-11-22T00:00:00Z,2021-11-23T11:00:00Z,7.24,1134,37.49,3.9,83.4,7.23E+07,1.28E+09,8.76E+09,NA,,0.09,,272486,119194,0,0,141653,133924,75278,110811,100550.720,193515.5867,NA,NA,0,0,0,0,0.000,detected,0,0
18245,NEWCASTLE  (Howdon) STW,UKENNE_NU_TP000031,Composite,2021-11-22T00:00:00Z,2021-11-23T11:00:00Z,7.58,761.3,23.71,3.44,168,1.11E+08,1.98E+09,1.46E+10,NA,,0.88,,0,276630,0,0,35553,66170,30350,46342,26911.420,32945.16467,NA,NA,0,0,0,0,0.000,detected,0,0
18271,BARNOLDSWICK STW,UKENNW_UU_TP000011,Grab,2021-11-24T08:00:00Z,2021-11-25T12:00:00Z,7.43,771.4,7.32,1.05,69,9.05E+07,3.03E+08,1.18E+10,0.08,,84.12,,24123,7842,0,0,6240,18866,1201,9151,0.000,0,NA,NA,0,0,0,0,detected,0,detected,detected
18272,LANCASTER (STODDAY) STW,UKENNW_UU_TP000076,Grab,2021-11-24T00:00:00Z,2021-11-25T12:00:00Z,7.49,1058,25.75,3.39,76.8,8.95E+07,9.38E+07,5.31E+09,0.12,,26.24,,26850,5438,0,0,0,111,0,701,8406.919,3739.829333,NA,NA,0,0,0,0,detected,detected,0,0
18273,TUNBRIDGE WELLS   South STW,,Grab,2021-11-24T11:30:00Z,2021-11-25T12:00:00Z,7.52,1216,9.57,2.46,173,4.03E+07,3.32E+08,1.96E+10,0.08,,2.35,,34478,12148,0,0,0,1512,0,228,417643.600,371685.4,NA,NA,0,0,0,0,0.000,0,0,0
18274,LONDON (Becton STW),UKENTH_TWU_TP000014,Grab,2021-11-24T09:00:00Z,2021-11-25T12:00:00Z,7.41,998.1,15.57,2.38,163,3.65E+07,7.55E+07,7.39E+09,0.10,,6.23,,62301,10521,0,0,0,821,0,1211,33678.220,8022.734333,NA,NA,0,0,0,18419.51467,detected,0,0,0
18275,Fleetwood and Blackpool (Fleetwood Marsh) STW,UKENNW_UU_TP000050,Grab,2021-11-24T08:00:00Z,2021-11-25T12:00:00Z,7.55,1196,11.4,2.17,59.7,1.28E+08,1.21E+08,7.21E+09,0.06,,0.66,,38428,9447,0,0,12624,17247,2383,6709,69367.320,100299.62,NA,NA,0,0,0,0,detected,detected,0,0
18276,LONDON (Mogden STW),UKENTH_TWU_TP000113,Grab,2021-11-24T10:00:00Z,2021-11-25T12:00:00Z,7.55,1642,31.62,3.52,173,1.12E+08,7.38E+07,5.74E+09,0.18,,23.10,,83737,17032,0,0,0,1321,0,430,157793.300,39156.38,NA,NA,0,0,0,21091.756,0,detected,detected,0
18277,"EAST HASTINGS, BEXHILL   STW""",,Composite,NA,2021-11-25T12:00:00Z,7.48,1048,18.51,3.45,123,9.28E+07,2.08E+08,1.28E+10,0.10,,5.67,,109394,23973,0,0,0,0,0,181,46141.560,14932.30933,NA,NA,0,0,0,2123.200867,detected,0,0,0
18278,TUNBRIDGE WELLS   South STW,,Grab,2021-11-24T11:30:00Z,2021-11-25T12:00:00Z,7.6,1208,21.66,2.19,176,1.64E+08,3.17E+08,2.12E+10,0.11,,2.30,,22406,7979,0,0,0,467,4048,853,553079.833,246233.52,NA,NA,0,16954.13067,0,0,detected,detected,0,0
18279,PORTSMOUTH AND HAVANT,UKENSO_SW_TP000004,Composite,NA,2021-11-25T12:00:00Z,7.24,1024,30.69,3.59,56.9,7.54E+07,9.22E+07,1.04E+10,0.11,,4.89,,59444,9869,0,0,7498,1383,3383,0,5719.026,878.8856,NA,NA,0,0,0,0,0,0,0,0
18280,CRAMLINGTON STW,UKENNE_NU_TP000020,Composite,NA,2021-11-25T12:00:00Z,7.46,2104,32.53,1.64,163,9.02E+07,1.63E+08,1.17E+10,0.13,,9.33,,35032,7866,0,0,5373,9018,11058,5758,43463.373,19493.14467,NA,NA,94991.14,0,0,0,0,0,0,0
18281,HULL STW,UKENNE_YW_TP000095,Composite,NA,2021-11-25T12:00:00Z,7.2,2682,20.14,0.96,251,3.54E+07,8.08E+07,8.60E+09,0.16,,5.47,,39673,11088,0,0,7367,5336,1144,3169,15582.156,7135.587333,NA,NA,0,0,0,0,0,detected,0,0
18282,Hartlepool Seaton Carew TW,NW-HTW,Grab,2021-11-24T13:00:00Z,2021-11-25T12:00:00Z,7.22,1396,29.77,3.55,136,5.92E+07,1.27E+08,9.97E+09,0.17,,4.21,,43310,10127,0,0,0,0,0,167,8459.154,3035.702667,NA,NA,0,0,0,0,detected,detected,0,0
18283,NEWCASTLE  (Howdon) STW,UKENNE_NU_TP000031,Composite,NA,2021-11-25T12:00:00Z,7.63,1276,64.11,4.99,142,7.81E+07,1.04E+08,3.56E+09,0.20,,10.65,,74897,14139,0,0,3447,0,2501,0,33431.043,9721.12,NA,NA,0,0,0,0,detected,0,0,0
18511,TUNBRIDGE WELLS   South STW,,Grab,2021-11-26T10:20:00Z,2021-11-27T10:14:12Z,7.24,1403,31.17,2.11,133,1.33E+07,1.33E+07,NA,0.06,,0.00,,150632,3374,0,0,0,0,0,47,0.000,0,NA,NA,0,0,0,0,detected,detected,0,0
18512,"EAST HASTINGS, BEXHILL   STW""",,Composite,2021-11-26T08:55:00Z,2021-11-27T10:14:12Z,7.46,1181,27.06,1.97,45.5,3.59E+06,3.59E+06,NA,0.22,,0.00,,96716,786,0,0,0,0,0,0,0.000,2983.936333,NA,NA,0,0,0,0,0,0,0,0
18513,PORTSMOUTH AND HAVANT,UKENSO_SW_TP000004,Composite,2021-11-26T08:55:00Z,2021-11-27T10:14:12Z,6.97,2379,14.3,0.03,41.4,9.40E+06,9.40E+06,NA,0.13,,0.10,,65405,31539,0,0,0,0,0,0,0.000,3045.701333,NA,NA,0,0,0,0,0,detected,0,0
18514,Hartlepool Seaton Carew TW,NW-HTW,Grab,2021-11-26T10:10:00Z,2021-11-27T10:14:12Z,7.4,1264,25.62,2.3,61.8,8.67E+06,8.67E+06,NA,0.06,,0.03,,38652,25997,0,0,0,0,4942,0,0.000,25904.33733,NA,NA,0,0,0,0,0,0,0,0
18515,LONDON (Mogden STW),UKENTH_TWU_TP000113,Composite,2021-11-26T10:00:00Z,2021-11-27T10:14:12Z,7.12,1333,42.02,2.91,43.7,7.23E+06,7.23E+06,NA,0.17,,0.06,,71670,71757,0,0,3825,0,1729,0,12578.695,141020.5,NA,NA,0,0,0,0,detected,detected,0.000,detected
18516,CRAMLINGTON STW,UKENNE_NU_TP000020,Composite,2021-11-26T07:00:00Z,2021-11-27T10:14:12Z,7.37,2273,34.59,1.96,51.4,1.11E+07,1.11E+07,NA,0.14,,0.03,,24235,28415,0,0,2963,0,3305,0,24919.623,286490.8867,NA,NA,0,0,0,0,0,0,0.000,0
18517,HULL STW,UKENNE_YW_TP000095,Composite,2021-11-26T06:50:00Z,2021-11-27T10:14:12Z,7.06,926.1,22.79,1.67,140,9.05E+06,9.05E+06,NA,0.17,,0.00,,50551,2875,0,0,11627,0,4659,0,11732.595,4363.525333,NA,NA,0,0,0,0,0,detected,0,0
18518,Fleetwood and Blackpool (Fleetwood Marsh) STW,UKENNW_UU_TP000050,Grab,2021-11-26T00:00:00Z,2021-11-27T10:14:12Z,7.14,610.5,17.55,0.79,75.3,8.95E+06,8.95E+06,NA,0.12,,0.03,,39033,33697,0,0,25293,0,0,0,16164.829,274801.2667,NA,NA,0,0,0,0,0,detected,0,0
18519,BARNOLDSWICK STW,UKENNW_UU_TP000011,Grab,2021-11-26T08:00:00Z,2021-11-27T10:14:12Z,7.51,461,5.45,0.23,7.46,4.03E+06,4.03E+06,NA,0.09,,0.00,,41136,9567,0,0,3190,0,0,0,0.000,0,NA,NA,0,11414.60133,0,0,0,detected,0,0.000
18520,LANCASTER (STODDAY) STW,UKENNW_UU_TP000076,Grab,2021-11-26T00:00:00Z,2021-11-27T10:14:12Z,7.12,1320,27.96,5.23,28,3.65E+06,3.65E+06,NA,0.08,,0.00,,0,3299,0,0,0,0,0,0,0.000,28643.23333,NA,NA,52198.7,0,0,0,0,detected,0,0
18521,NEWCASTLE  (Howdon) STW,UKENNE_NU_TP000031,Grab,2021-11-26T07:00:00Z,2021-11-27T10:14:12Z,7.42,1252,33.83,2.62,104,1.28E+07,1.28E+07,NA,0.04,,0.01,,46893,33189,0,0,0,0,0,0,7284.075,29595.30667,NA,NA,0,0,0,0,0,detected,0,0
18522,LONDON (Becton STW),UKENTH_TWU_TP000014,Grab,2021-11-26T09:00:00Z,2021-11-27T10:14:12Z,7.42,1252,33.83,2.62,49.4,1.12E+07,1.12E+07,NA,0.04,,0.03,,57538,40388,0,0,1836,0,0,0,0.000,58516.01333,NA,NA,0,0,0,0,0,detected,detected,0
