sample_id,sample_site_name,sample_site_code,grab_compo_ind,timestamp_sample_collected,timestamp_sample_received,sample_ph_pre_ansis,conductivity_ms_cm,ammonia_mg_l,ophosph_mg_l,Turbidity,AM_CrAss_gc_l,PEG_CrAss_gc_l,SN_CrAss_gc_l,AM_phi6_Rec%,AM_phi6_Rec%_rerun,PEG_phi6_Rec%,PEG_phi6_Rec%_rerun,AM_N1_SARS_gc_l,PEG_N1_SARS_gc_l,AM_FluA_gc_l,PEG_FluA_gc_l,AM_EV_gc_l,PEG_EV_gc_l,AM_EVD68_gc_l,PEG_EVD68_gc_l,AM_NoVGI_gc_l,PEG_NoVGI_gc_l,AM_NoVGII_gc_l,PEG_NoVGII_gc_l,AM_MeV_gc_l,PEG_MeV_gc_l,AM_RoV_gc_l,PEG_RoV_gc_l,AM_RSVA_gc_l,PEG_RSVA_gc_l,AM_RSVB_gc_l,PEG_RSVB_gc_l
17831,HULL STW,UKENNE_YW_TP000095,Composite,2021-11-14T06:30:00Z,2021-11-15T10:50:00Z,7.34,576.9,5.72,0.1,89,2.64E+07,6.26E+07,1.61E+08,0.07,0.09,0.26,,27619,22592,6645,0,93823,56075,0,0,13716.879,15535.63467,411.45572,NA,0,0,0,0,0,0.000,0,0
17910,LANCASTER (STODDAY) STW,UKENNW_UU_TP000076,Grab,2021-11-15T00:00:00Z,2021-11-16T12:00:00Z,7.38,876.8,3.04,2.07,62.5,9.38E+06,1.31E+07,5.64E+07,0.15,,0.77,,22742,5376,0,0,9035,12511,0,0,0.000,0,559.44324,NA,0,0,0,0,detected,detected,detected,0
17911,Fleetwood and Blackpool (Fleetwood Marsh) STW,UKENNW_UU_TP000050,Grab,2021-11-15T08:00:00Z,2021-11-16T12:00:00Z,7.94,771.6,13.36,4.04,46.4,8.95E+06,4.55E+07,3.30E+08,0.08,0.13,36.64,,36901,27852,0,0,106604,203129,0,0,45956.885,105594.0133,697.8259,1854.1135,0,0,0,507.9912,0.000,0.000,0,0
17912,BARNOLDSWICK STW,UKENNW_UU_TP000011,Grab,2021-11-15T08:00:00Z,2021-11-16T12:00:00Z,7.28,1196,0.84,3.89,37.4,1.61E+07,4.48E+07,6.60E+08,0.13,,17.41,,90931,29879,0,0,22511,30867,0,0,0.000,0,332.16092,0,0,0,0,0,0,0.000,0,0
17913,NEWCASTLE  (Howdon) STW,UKENNE_NU_TP000031,Composite,2021-11-15T11:20:00Z,2021-11-16T12:00:00Z,7.28,1146,4.56,3.51,114,2.72E+07,8.68E+07,8.64E+08,0.13,,27.91,,110755,32659,0,0,57401,59452,0,0,26087.523,27373.29133,981.84644,3118.2188,0,0,0,9415.171333,detected,detected,0,0
17914,CRAMLINGTON STW,UKENNE_NU_TP000020,Composite,2021-11-15T10:10:00Z,2021-11-16T12:00:00Z,7.73,1862,2.92,3.18,80.5,3.11E+07,8.38E+07,9.58E+08,0.13,,24.64,,49269,25171,0,0,55966,77751,0,412,164987.093,266752.22,869.5957,8000.672,0,0,0,0,detected,detected,0,0
17915,Hartlepool Seaton Carew TW,NW-HTW,Composite,2021-11-15T08:25:00Z,2021-11-16T12:00:00Z,7.63,1844,0.36,2.21,137,3.19E+07,1.31E+08,1.04E+09,0.10,0.05,2.52,,83194,29689,0,0,40609,60965,0,0,44958.229,41033.66667,375.36963,3367.9385,0,0,0,0,detected,0,0,0
17916,HULL STW,UKENNE_YW_TP000095,Composite,2021-11-15T06:35:00Z,2021-11-16T12:00:00Z,7.62,1190,1.84,2.56,138,1.20E+07,1.18E+08,5.56E+08,0.08,0.10,3.32,,55651,28609,0,0,38668,33764,0,0,13017.677,20910.48933,129.68047,1150.4949,0,0,0,0,0,0.000,0,0
17917,LONDON (Becton STW),UKENTH_TWU_TP000014,Grab,2021-11-15T09:00:00Z,2021-11-16T12:00:00Z,7.56,1155,1.08,3.35,134,2.93E+07,8.73E+07,5.17E+08,0.13,,6.03,,66413,44397,0,0,80008,74618,0,0,82183.713,71084.68,611.25226,3461.6191,0,0,0,23568.36,detected,detected,0,0
17918,CAMBRIDGE STW,UKENAN_AW_TP000050,Grab,2021-11-15T10:00:00Z,2021-11-16T12:00:00Z,7.61,1212,5.08,3.09,202,2.38E+07,NA,5.73E+08,0.16,,26.97,,80749,42633,0,0,51327,82839,0,0,75403.837,153743.2533,1006.237,7507.1006,0,0,0,0,0,0,0,0
17919,PORTSMOUTH AND HAVANT,UKENSO_SW_TP000004,Composite,2021-11-14T00:00:00Z,2021-11-16T12:00:00Z,7.67,1206,0.48,2.07,114,2.73E+07,1.72E+08,1.21E+09,0.06,0.09,0.53,,60711,21261,0,0,20657,41420,0,0,58596.393,0,459.9152,4420.89,0,0,0,0,detected,0.000,0,0
17922,PORTSMOUTH AND HAVANT,UKENSO_SW_TP000004,Composite,2021-11-12T08:00:00Z,2021-11-16T12:00:00Z,7.8,1103,3.6,2.22,60.5,3.40E+07,1.62E+08,7.09E+08,0.11,,3.85,,75475,34376,0,0,21305,60591,0,0,22709.191,23719.65667,1036.1704,3369.412,0,0,0,441.1066667,detected,0.000,0,0
17923,PORTSMOUTH AND HAVANT,UKENSO_SW_TP000004,Grab,2021-11-15T08:00:00Z,2021-11-16T12:00:00Z,7.15,2675,27.72,0.92,45.5,1.53E+07,8.82E+07,4.99E+08,0.10,,26.64,,68014,29112,0,0,0,36335,0,126,0.000,5836.592,975.50134,7457.4736,0,0,0,0,0,0.000,0,0
17924,Hartlepool Seaton Carew TW,NW-HTW,Grab,2021-11-17T06:30:00Z,2021-11-18T00:00:00Z,7.48,965.4,24.16,1.13,55.9,3.09E+08,5.49E+06,6.05E+08,0.02,,0.72,,19730,30534,0,0,0,85370,0,0,96519.127,148151.2267,258.12607,2813.8354,0,0,0,0,0,0.000,0,0
